file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count
d:\New folder\project\data\r0\t2.4\t2.4_340.cif,2.0202926178866907,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t2.4\t2.4_40.cif,2.1194587071649362,3.0,3.0,2.652427038476017,2,0,0,2,4
d:\New folder\project\data\r0\t2.4\t2.4_60.cif,2.228461879940915,3.0,2.5342794856352517,2.627790358887764,2,0,2,2,6
d:\New folder\project\data\r0\t2.4\t2.4_80.cif,3.0,3.0,2.303820352722968,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t3.6\t3.6_0.cif,2.0836874093547095,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t3.6\t3.6_100.cif,2.2355858598691043,3.0,2.253831285926163,2.810205184004296,2,0,2,2,6
d:\New folder\project\data\r0\t3.6\t3.6_120.cif,2.3420168993586183,3.0,2.4198836990302337,2.711897176446881,3,0,2,2,7
d:\New folder\project\data\r0\t3.6\t3.6_140.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t3.6\t3.6_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t3.6\t3.6_180.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t3.6\t3.6_20.cif,2.4300327750891126,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t3.6\t3.6_200.cif,3.0,3.0,2.6665950510302663,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t3.6\t3.6_220.cif,2.3656477990420055,3.0,2.5786329860775092,2.368099029257407,4,0,4,2,10
d:\New folder\project\data\r0\t3.6\t3.6_240.cif,2.3513195796892132,3.0,2.5993381386821466,2.694147218059474,4,0,4,4,12
d:\New folder\project\data\r0\t3.6\t3.6_260.cif,2.4197354523339714,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t3.6\t3.6_280.cif,3.0,3.0,3.0,2.545954448314358,0,0,0,2,2
d:\New folder\project\data\r0\t3.6\t3.6_300.cif,3.0,3.0,2.805939655473183,2.5347675249351775,0,0,2,2,4
d:\New folder\project\data\r0\t3.6\t3.6_320.cif,2.327924745778747,2.806293027837426,2.596065174118912,1.884225713034402,4,2,2,2,10
d:\New folder\project\data\r0\t3.6\t3.6_340.cif,2.357951184558754,2.7686577893238042,2.533903217942994,1.8965528321559724,4,2,2,2,10
d:\New folder\project\data\r0\t3.6\t3.6_40.cif,2.2820658452363585,3.0,3.0,3.0,4,0,0,0,4
d:\New folder\project\data\r0\t3.6\t3.6_60.cif,2.4889544670489885,3.0,2.258862625253743,3.0,1,0,2,0,3
d:\New folder\project\data\r0\t3.6\t3.6_80.cif,3.0,3.0,2.190577881243903,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t4.8\t4.8_0.cif,2.455982549505511,2.705044200201162,2.353084384507091,1.745941599855254,4,2,2,2,10
d:\New folder\project\data\r0\t4.8\t4.8_100.cif,2.2575590550853226,3.031354106607035,2.5745208488456433,2.2640007170683782,4,2,4,2,12
d:\New folder\project\data\r0\t4.8\t4.8_120.cif,2.191910179414429,2.9847423961775483,2.606090311622788,2.3187430624361287,2,2,4,2,10
d:\New folder\project\data\r0\t4.8\t4.8_140.cif,2.2437416719527254,3.0336054972052366,2.737810707313126,2.565923528289347,2,2,2,2,8
d:\New folder\project\data\r0\t4.8\t4.8_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t4.8\t4.8_180.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t4.8\t4.8_20.cif,2.4149196388190948,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t4.8\t4.8_200.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t4.8\t4.8_220.cif,2.2979932596585964,3.0,2.649741558994643,2.228529051614526,2,0,3,2,7
d:\New folder\project\data\r0\t4.8\t4.8_240.cif,2.3101038641720906,3.0,3.0,2.5661643871921624,2,0,0,2,4
d:\New folder\project\data\r0\t4.8\t4.8_260.cif,3.0,3.0,3.0,2.4039889895001734,0,0,0,2,2
d:\New folder\project\data\r0\t4.8\t4.8_280.cif,3.0,3.0,3.0,2.3117728157202997,0,0,0,2,2
d:\New folder\project\data\r0\t4.8\t4.8_300.cif,2.4918357815176355,3.0,2.755575193276201,2.4716538916264263,1,0,1,2,4
d:\New folder\project\data\r0\t4.8\t4.8_320.cif,2.1801888891901826,2.764124323595407,2.5282941281346387,1.7984585821380679,2,2,2,2,8
d:\New folder\project\data\r0\t4.8\t4.8_340.cif,2.3502807098098777,2.711082168552756,2.4770768602653064,1.821075589610028,4,2,2,2,10
d:\New folder\project\data\r0\t4.8\t4.8_40.cif,1.9838160301323544,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t4.8\t4.8_60.cif,3.0,3.0,2.3203573537897286,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t4.8\t4.8_80.cif,3.0,3.0,2.2853054447332144,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t6.0\t6.0_0.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t6.0\t6.0_100.cif,2.2900007678281136,3.0139632441319906,2.6177822196056084,2.2316032557035235,6,2,4,2,14
d:\New folder\project\data\r0\t6.0\t6.0_120.cif,2.3027881785315376,2.9448236400783845,2.42321791470468,2.252717245822965,4,2,2,2,10
d:\New folder\project\data\r0\t6.0\t6.0_140.cif,2.4410692640580596,2.693581030310173,3.0,1.7247142490440122,4,2,0,2,8
d:\New folder\project\data\r0\t6.0\t6.0_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t6.0\t6.0_180.cif,3.0,3.0,3.0,2.679041631624526,0,0,0,2,2
d:\New folder\project\data\r0\t6.0\t6.0_20.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t6.0\t6.0_200.cif,3.0,3.0,3.0,2.4770299984278594,0,0,0,2,2
d:\New folder\project\data\r0\t6.0\t6.0_220.cif,3.0,3.0,3.0,2.7501250531727752,0,0,0,4,4
d:\New folder\project\data\r0\t6.0\t6.0_240.cif,2.469155207321423,3.0,3.0,2.6647814672782704,2,0,0,4,6
d:\New folder\project\data\r0\t6.0\t6.0_260.cif,2.4207063957357042,3.0,3.0,2.5629533604281924,2,0,0,4,6
d:\New folder\project\data\r0\t6.0\t6.0_280.cif,2.2821635850841746,3.0,2.7346787124561547,2.318118282441761,2,0,2,2,6
d:\New folder\project\data\r0\t6.0\t6.0_300.cif,2.4318596546754483,3.0,2.699496382711213,2.4906886588860373,4,0,4,2,10
d:\New folder\project\data\r0\t6.0\t6.0_320.cif,2.1633044395208265,3.0,2.551228166654801,2.6430136093512546,2,0,2,2,6
d:\New folder\project\data\r0\t6.0\t6.0_340.cif,2.420718858996689,3.1396447625755877,2.7960582590747913,3.0,2,2,2,0,6
d:\New folder\project\data\r0\t6.0\t6.0_40.cif,2.490846730020899,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t6.0\t6.0_60.cif,2.364253571396735,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t6.0\t6.0_80.cif,2.370234811478413,3.0,2.568628719673049,2.7657110612609106,4,0,2,2,8
d:\New folder\project\data\r0\t7.2\t7.2_0.cif,3.0,3.0,2.3688100460584085,2.4940635372879374,0,0,2,2,4
d:\New folder\project\data\r0\t7.2\t7.2_100.cif,2.2707542839042474,3.0043495160048037,2.6000954436100696,2.2042343766761645,6,2,3,2,13
d:\New folder\project\data\r0\t7.2\t7.2_120.cif,2.3121743065050016,3.0,2.4189752563288076,2.5201375839570117,2,0,2,2,6
d:\New folder\project\data\r0\t7.2\t7.2_140.cif,3.0,3.0,2.504580554018078,2.782481282176451,0,0,2,2,4
d:\New folder\project\data\r0\t7.2\t7.2_160.cif,2.499076378270899,3.0,3.0,2.5538634331915695,1,0,0,2,3
d:\New folder\project\data\r0\t7.2\t7.2_180.cif,3.0,3.0,3.0,2.7740269245029125,0,0,0,2,2
d:\New folder\project\data\r0\t7.2\t7.2_20.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t7.2\t7.2_200.cif,3.0,3.0,3.0,2.384927431241354,0,0,0,2,2
d:\New folder\project\data\r0\t7.2\t7.2_220.cif,2.4433868355754673,3.0,3.0,2.4822630682235323,2,0,0,2,4
d:\New folder\project\data\r0\t7.2\t7.2_240.cif,2.36382862590328,3.0,3.0,2.367904218204249,2,0,0,2,4
d:\New folder\project\data\r0\t7.2\t7.2_260.cif,2.1269765259795417,3.0,3.0,2.440439275281043,2,0,0,2,4
d:\New folder\project\data\r0\t7.2\t7.2_280.cif,1.8637883050435593,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t7.2\t7.2_300.cif,2.0633548951044607,3.0,2.452003035408113,2.7831521976007987,2,0,2,2,6
d:\New folder\project\data\r0\t7.2\t7.2_320.cif,3.0,3.0,2.3713038342989052,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t7.2\t7.2_340.cif,3.0,3.0,2.4513118818937563,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t7.2\t7.2_40.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t7.2\t7.2_60.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t7.2\t7.2_80.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t8.4\t8.4_0.cif,3.0,3.0,2.573797865521525,2.4156681223309917,0,0,2,2,4
d:\New folder\project\data\r0\t8.4\t8.4_100.cif,2.266101859856033,3.0,3.0,2.5944508194040155,2,0,0,2,4
d:\New folder\project\data\r0\t8.4\t8.4_120.cif,2.243879511768303,3.0,3.0,2.5983092722246868,4,0,0,2,6
d:\New folder\project\data\r0\t8.4\t8.4_140.cif,2.2861964048154695,3.0,2.6195207592049927,2.7537429177930646,4,0,2,2,8
d:\New folder\project\data\r0\t8.4\t8.4_160.cif,2.340266376571595,3.0,3.0,2.6366288612644184,2,0,0,2,4
d:\New folder\project\data\r0\t8.4\t8.4_180.cif,2.411126320212247,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t8.4\t8.4_20.cif,3.0,3.0,3.0,2.635189072062222,0,0,0,2,2
d:\New folder\project\data\r0\t8.4\t8.4_200.cif,2.3140284878182,3.0,3.0,2.712285796725811,2,0,0,2,4
d:\New folder\project\data\r0\t8.4\t8.4_220.cif,3.0,3.0,3.0,2.8012985117904794,0,0,0,2,2
d:\New folder\project\data\r0\t8.4\t8.4_240.cif,2.4222814361599907,3.0,3.0,2.4084615142915515,2,0,0,2,4
d:\New folder\project\data\r0\t8.4\t8.4_260.cif,2.122757306969251,3.0,3.0,2.609227697341944,4,0,0,2,6
d:\New folder\project\data\r0\t8.4\t8.4_280.cif,2.0107695840046653,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t8.4\t8.4_300.cif,2.3767401166472637,3.0,2.6323111344810357,2.772011511186681,4,0,2,2,8
d:\New folder\project\data\r0\t8.4\t8.4_320.cif,2.426028515898677,3.0,2.5070148643629073,3.0,2,0,2,0,4
d:\New folder\project\data\r0\t8.4\t8.4_340.cif,3.0,3.0,2.3065420072647442,2.399646733101596,0,0,2,2,4
d:\New folder\project\data\r0\t8.4\t8.4_40.cif,3.0,3.0,3.0,2.5246533718514934,0,0,0,2,2
d:\New folder\project\data\r0\t8.4\t8.4_60.cif,3.0,3.0,3.0,2.4882242112282134,0,0,0,2,2
d:\New folder\project\data\r0\t8.4\t8.4_80.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r0\t9.6\t9.6_0.cif,3.0,3.0,3.0,2.2547981143172793,0,0,0,2,2
d:\New folder\project\data\r0\t9.6\t9.6_100.cif,2.4696550800763917,3.1511006323525317,3.0,2.3855578325631006,1,2,0,2,5
d:\New folder\project\data\r0\t9.6\t9.6_120.cif,2.3642699190307797,3.0,3.0,2.457127464215172,4,0,0,2,6
