file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_320_grid0.cif,2.191041918772706,2.6068238223899987,2.097135992811545,2.295732679142627,6,13,22,13,54,2.2622145173340216,2.6176141368925747,2.4280046499103807,2.5139243774945004,6,6,8,11,31,2.458835303017448,2.854378717509479,2.2735705598206533,2.2781104226134676,7,8,7,10,32
D:\New folder\project\results\4_layer\lower\r0\t6.0\t6.0_340_grid0.cif,2.3580880914270854,2.574244469450886,2.3908452729965335,2.367321029978892,13,9,14,16,52,2.290000767828113,3.013963244131987,2.617782219605606,2.2316032557035195,6,2,4,2,14,2.1290898795161217,2.9074787474867345,3.0,1.7430291412489005,8,3,0,7,18
D:\New folder\project\results\4_layer\lower\r0\t7.2\t7.2_100_grid2.cif,2.3217775231113382,2.600016958551749,2.1729207214726873,2.2632566614418566,6,10,8,20,44,2.2707542839042447,3.004349516004802,2.6000954436100714,2.2042343766761627,6,2,3,2,13,2.1638331954505556,2.9193811933934684,3.0,2.001579928573494,8,4,0,12,24
D:\New folder\project\results\4_layer\lower\r0\t7.2\t7.2_200_grid2.cif,2.2985051797305847,2.469061194716448,2.3129503324174405,2.490266448066926,10,10,13,11,44,2.2038881946884046,3.0403813719515194,2.574210292086138,2.2001430477359345,7,5,4,7,23,2.1386184977166733,2.9193811933934684,3.0,1.9870575268275494,6,4,0,10,20
D:\New folder\project\results\4_layer\lower\r0\t7.2\t7.2_220_grid0.cif,2.280496746683398,2.469061194716452,2.293970693860965,2.364295920866357,12,10,11,15,48,2.2038881946884046,3.0403813719515194,2.574210292086138,2.2001430477359345,7,5,4,7,23,2.1386184977166733,2.9193811933934684,3.0,1.9870575268275494,6,4,0,10,20
D:\New folder\project\results\4_layer\lower\r0\t7.2\t7.2_220_grid2.cif,2.1936298711133233,2.5817143382240233,2.367106009294258,2.472246124283484,10,11,14,11,46,2.2038881946884046,3.0403813719515194,2.574210292086138,2.2001430477359345,7,5,4,7,23,2.1386184977166733,2.9193811933934684,3.0,1.9870575268275494,6,4,0,10,20
D:\New folder\project\results\4_layer\lower\r0\t7.2\t7.2_280_grid0.cif,2.2746199416209665,2.724666272017372,2.3022313267298284,2.1378888294861027,9,8,4,20,41,2.2707542839042447,3.004349516004802,2.6000954436100714,2.2042343766761627,6,2,3,2,13,2.1638331954505556,2.9193811933934684,3.0,2.001579928573494,8,4,0,12,24
D:\New folder\project\results\4_layer\lower\r60\t9.6\t9.6_340_grid5.cif,2.1727793306288765,2.8032221272651157,2.1126439403657,2.3294040366805095,13,10,11,18,52,2.42321291030858,2.9252056995231164,2.4013976063466282,2.285911502119881,6,3,5,12,26,2.1166634751154265,3.118545160072064,2.4676999481132214,2.101436180296063,4,1,6,2,13
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_80_grid5.cif,2.3198526154147445,3.0,2.2720883225156046,3.0,8,0,15,0,23,2.226373449592377,2.7852416155558837,2.122647476265572,2.2608694979856185,12,13,9,27,61,2.4713784167548654,3.010013049544347,2.3204433779428912,2.6080364782815506,3,4,8,2,17
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_100_grid0.cif,2.2329045813544828,3.1359299406074115,2.0606547581649246,1.9703023576128174,16,2,10,10,38,2.270028337181522,2.8038865619582993,2.211207413827557,2.3051607298927275,14,15,15,18,62,1.7752005120457,2.9008293132379492,2.02981465962607,2.3993365160290683,4,2,2,4,12
