file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count,Int4_avg_HH_dist,Int4_avg_OO_dist,Int4_avg_OH_dist,Int4_avg_HO_dist,Int4_count_HH,Int4_count_OO,Int4_count_OH,Int4_count_HO,Int4_sum_of_count
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_80_grid1.cif,2.451658454057566,2.9831668876194173,2.0935044890425565,2.5133322242319753,4,5,6,5,20,2.205540526697731,3.000813458206364,1.9492445851082039,1.8350537456251643,10,7,12,10,39,2.1290898795161195,2.907478747486732,3.0,1.7430291412489005,8,3,0,7,18,2.3189779082499005,2.93420014975112,2.2875476800572456,2.1895254642143724,4,4,8,5,21
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_80_grid3.cif,2.380778190574918,2.8490834252925823,2.6250105909782784,2.409654388633092,7,5,4,15,31,2.441825462471353,2.83150684130834,2.081930362034537,1.9953281060545114,4,6,6,12,28,2.343462872095,2.590153664183015,2.5104422348188913,2.6049697698654213,6,4,10,7,27,2.2789944431063103,2.6259963545347706,2.2669049405698893,2.2064121532028023,8,6,6,11,31
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_100_grid6.cif,2.2929449715913526,2.5951817124329564,2.1597464607296972,2.1305071295932314,12,10,14,21,57,2.2900007678281185,3.013963244131988,2.6177822196056066,2.231603255703523,6,2,4,2,14,2.1290898795161195,2.907478747486732,3.0,1.7430291412489005,8,3,0,7,18,2.3189779082499005,2.93420014975112,2.2875476800572456,2.1895254642143724,4,4,8,5,21
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_200_grid2.cif,2.2560358213705807,2.4417634135323567,2.4665424072566946,2.398796801265496,6,4,8,7,25,2.2639409497183003,2.870175751293931,2.180209947676621,2.263407385994783,8,7,13,6,34,2.3177150720924145,2.6906682100668675,2.442144688343544,2.129212584894907,2,3,4,9,18,2.2977084759304405,2.7581143143318805,2.2370947123764364,2.202940824105543,8,6,6,16,36
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_220_grid2.cif,2.363428304428121,2.4417634135323567,2.3520325652138396,2.498571146740131,8,4,8,8,28,2.2639409497183003,2.870175751293931,2.180209947676621,2.263407385994783,8,7,13,6,34,2.3177150720924145,2.6906682100668675,2.442144688343544,2.129212584894907,2,3,4,9,18,2.2977084759304405,2.7581143143318805,2.2370947123764364,2.202940824105543,8,6,6,16,36
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_260_grid1.cif,2.1727741368689064,2.9331470554205428,2.193959878460913,2.0474793549503127,6,4,13,5,28,2.3311030090186957,3.026785775279212,2.1887781074834014,2.3482123129955874,12,7,11,6,36,2.1290898795161195,2.907478747486732,3.0,1.7430291412489005,8,3,0,7,18,2.3189779082499005,2.93420014975112,2.2875476800572456,2.1895254642143724,4,4,8,5,21
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_260_grid2.cif,2.380778190574918,2.6183467592336256,2.442595550040119,2.3973296319146407,7,5,6,7,25,2.4253612415759767,2.9678618352499435,2.0693307510981684,2.2801630739909116,6,8,10,12,36,2.33478024753115,2.590153664183015,2.438931569902983,2.5383187170806183,3,4,7,8,22,2.267237980692391,2.7581143143318805,2.1877210794480098,2.1589065190367807,9,6,8,9,32
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_260_grid3.cif,2.380778190574918,2.8490834252925823,2.6250105909782784,2.4615366778800802,7,5,4,13,29,2.441825462471353,2.730387956415749,2.0836335787914155,1.9757102667388438,4,5,5,13,27,2.343462872095,2.590153664183015,2.4510750721744605,2.5941117302439807,6,4,10,6,26,2.3041886965626324,2.6259963545347706,2.2669049405698893,2.2321648365601137,8,6,6,9,29
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_280_grid2.cif,2.380778190574918,2.8490834252925823,2.6250105909782784,2.409654388633092,7,5,4,15,31,2.441825462471353,2.83150684130834,2.081930362034537,1.9953281060545114,4,6,6,12,28,2.343462872095,2.590153664183015,2.5104422348188913,2.6049697698654213,6,4,10,7,27,2.2789944431063103,2.6259963545347706,2.2669049405698893,2.2064121532028023,8,6,6,11,31
D:\New folder\project\results\5_layer\lower\r0\t6.0\t6.0_280_grid4.cif,2.2717946251445618,2.852648007185207,2.3500743617584563,2.34934148313051,9,10,8,25,52,2.466458449191962,2.870375565630981,2.2195331061573573,2.5546666336200965,5,9,14,10,38,2.3840448618655943,2.914398335924651,2.050398235355554,2.0643537388749014,11,4,8,4,27,2.3540597108642887,2.9148868514868047,2.70610344693131,1.7875673526508895,5,4,6,4,19
