file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count,file_id,r_bottom,displacement,r_upper,adjusted_energy
d:\New folder\project\data\r0\t1.2\t1.2_40.cif,2.2010446295853066,3.0,3.0,2.711552473874296,2,0,0,4,6,r0_t1.2_t1.2_40.cif,0,1.2,40,0.5268399999999929
d:\New folder\project\data\r0\t1.2\t1.2_60.cif,2.3265190766036286,3.0592246295055796,3.0,2.7157648671521963,2,2,0,4,8,r0_t1.2_t1.2_60.cif,0,1.2,60,0.5516700000000583
d:\New folder\project\data\r0\t1.2\t1.2_80.cif,3.0,2.9970754599124962,3.0,3.0,0,2,0,0,2,r0_t1.2_t1.2_80.cif,0,1.2,80,0.6085000000000491
d:\New folder\project\data\r0\t2.4\t2.4_0.cif,2.1888330089595094,3.0,3.0,2.7690238188701044,2,0,0,2,4,r0_t2.4_t2.4_0.cif,0,2.4,0,0.4780000000000655
d:\New folder\project\data\r0\t2.4\t2.4_100.cif,2.3595818385476823,3.0,2.2967714545631175,2.780258892849633,2,0,2,2,6,r0_t2.4_t2.4_100.cif,0,2.4,100,0.4494900000000825
d:\New folder\project\data\r0\t2.4\t2.4_120.cif,2.2468201260482124,3.0,2.582753448948327,2.494789135652325,2,0,2,2,6,r0_t2.4_t2.4_120.cif,0,2.4,120,0.2983500000000276
d:\New folder\project\data\r0\t2.4\t2.4_140.cif,2.4682144838829445,3.0,3.0,2.7530601568495747,2,0,0,3,5,r0_t2.4_t2.4_140.cif,0,2.4,140,0.2815200000000004
d:\New folder\project\data\r0\t2.4\t2.4_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t2.4_t2.4_160.cif,0,2.4,160,0.4370000000000118
d:\New folder\project\data\r0\t2.4\t2.4_180.cif,3.0,3.0,2.7430265351128478,3.0,0,0,2,0,2,r0_t2.4_t2.4_180.cif,0,2.4,180,0.4796200000000681
d:\New folder\project\data\r0\t2.4\t2.4_20.cif,2.3965920356494124,3.0,3.0,3.0,2,0,0,0,2,r0_t2.4_t2.4_20.cif,0,2.4,20,0.4922200000000885
d:\New folder\project\data\r0\t2.4\t2.4_200.cif,3.0,3.0,2.4134944827021783,3.0,0,0,2,0,2,r0_t2.4_t2.4_200.cif,0,2.4,200,0.446480000000065
d:\New folder\project\data\r0\t2.4\t2.4_220.cif,2.4124085937403508,3.0,2.3572956739364255,3.0,2,0,2,0,4,r0_t2.4_t2.4_220.cif,0,2.4,220,0.0554000000000769
d:\New folder\project\data\r0\t2.4\t2.4_240.cif,2.185116825049663,3.0,3.0,2.427491621077354,2,0,0,4,6,r0_t2.4_t2.4_240.cif,0,2.4,240,-0.0839599999999336
d:\New folder\project\data\r0\t2.4\t2.4_260.cif,2.40938453828411,2.9488295083081795,2.562457379824457,2.1538595889669203,4,2,4,2,12,r0_t2.4_t2.4_260.cif,0,2.4,260,-0.1451499999999441
d:\New folder\project\data\r0\t2.4\t2.4_280.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t2.4_t2.4_280.cif,0,2.4,280,0.354280000000017
d:\New folder\project\data\r0\t2.4\t2.4_300.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t2.4_t2.4_300.cif,0,2.4,300,0.45575000000008
d:\New folder\project\data\r0\t2.4\t2.4_320.cif,2.1374856365219674,3.0,3.0,3.0,2,0,0,0,2,r0_t2.4_t2.4_320.cif,0,2.4,320,0.428820000000087
d:\New folder\project\data\r0\t2.4\t2.4_340.cif,2.0202926178866907,3.0,3.0,3.0,2,0,0,0,2,r0_t2.4_t2.4_340.cif,0,2.4,340,0.5341300000000047
d:\New folder\project\data\r0\t2.4\t2.4_40.cif,2.1194587071649362,3.0,3.0,2.652427038476017,2,0,0,2,4,r0_t2.4_t2.4_40.cif,0,2.4,40,0.5255799999999908
d:\New folder\project\data\r0\t2.4\t2.4_60.cif,2.228461879940915,3.0,2.5342794856352517,2.627790358887764,2,0,2,2,6,r0_t2.4_t2.4_60.cif,0,2.4,60,0.5188400000000684
d:\New folder\project\data\r0\t2.4\t2.4_80.cif,3.0,3.0,2.303820352722968,3.0,0,0,2,0,2,r0_t2.4_t2.4_80.cif,0,2.4,80,0.5457300000000487
d:\New folder\project\data\r0\t3.6\t3.6_0.cif,2.0836874093547095,3.0,3.0,3.0,2,0,0,0,2,r0_t3.6_t3.6_0.cif,0,3.6,0,0.4659900000000334
d:\New folder\project\data\r0\t3.6\t3.6_100.cif,2.2355858598691043,3.0,2.253831285926163,2.810205184004296,2,0,2,2,6,r0_t3.6_t3.6_100.cif,0,3.6,100,0.1136300000000574
d:\New folder\project\data\r0\t3.6\t3.6_120.cif,2.3420168993586183,3.0,2.4198836990302337,2.711897176446881,3,0,2,2,7,r0_t3.6_t3.6_120.cif,0,3.6,120,0.2981300000000146
d:\New folder\project\data\r0\t3.6\t3.6_140.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t3.6_t3.6_140.cif,0,3.6,140,0.3769300000000157
d:\New folder\project\data\r0\t3.6\t3.6_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t3.6_t3.6_160.cif,0,3.6,160,0.5215200000000095
d:\New folder\project\data\r0\t3.6\t3.6_180.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t3.6_t3.6_180.cif,0,3.6,180,0.4755200000000741
d:\New folder\project\data\r0\t3.6\t3.6_20.cif,2.4300327750891126,3.0,3.0,3.0,2,0,0,0,2,r0_t3.6_t3.6_20.cif,0,3.6,20,0.5453600000000733
d:\New folder\project\data\r0\t3.6\t3.6_200.cif,3.0,3.0,2.6665950510302663,3.0,0,0,2,0,2,r0_t3.6_t3.6_200.cif,0,3.6,200,0.360740000000078
d:\New folder\project\data\r0\t3.6\t3.6_220.cif,2.3656477990420055,3.0,2.5786329860775092,2.368099029257407,4,0,4,2,10,r0_t3.6_t3.6_220.cif,0,3.6,220,-0.0057600000000093
d:\New folder\project\data\r0\t3.6\t3.6_240.cif,2.3513195796892132,3.0,2.5993381386821466,2.694147218059474,4,0,4,4,12,r0_t3.6_t3.6_240.cif,0,3.6,240,-0.073509999999942
d:\New folder\project\data\r0\t3.6\t3.6_260.cif,2.4197354523339714,3.0,3.0,3.0,2,0,0,0,2,r0_t3.6_t3.6_260.cif,0,3.6,260,0.1133100000000695
d:\New folder\project\data\r0\t3.6\t3.6_280.cif,3.0,3.0,3.0,2.545954448314358,0,0,0,2,2,r0_t3.6_t3.6_280.cif,0,3.6,280,0.2074499999999943
d:\New folder\project\data\r0\t3.6\t3.6_300.cif,3.0,3.0,2.805939655473183,2.5347675249351775,0,0,2,2,4,r0_t3.6_t3.6_300.cif,0,3.6,300,0.2556200000000217
d:\New folder\project\data\r0\t3.6\t3.6_320.cif,2.327924745778747,2.806293027837426,2.596065174118912,1.884225713034402,4,2,2,2,10,r0_t3.6_t3.6_320.cif,0,3.6,320,0.0663500000000567
d:\New folder\project\data\r0\t3.6\t3.6_340.cif,2.357951184558754,2.7686577893238042,2.533903217942994,1.8965528321559724,4,2,2,2,10,r0_t3.6_t3.6_340.cif,0,3.6,340,0.1230600000000095
d:\New folder\project\data\r0\t3.6\t3.6_40.cif,2.2820658452363585,3.0,3.0,3.0,4,0,0,0,4,r0_t3.6_t3.6_40.cif,0,3.6,40,0.6065700000000334
d:\New folder\project\data\r0\t3.6\t3.6_60.cif,2.4889544670489885,3.0,2.258862625253743,3.0,1,0,2,0,3,r0_t3.6_t3.6_60.cif,0,3.6,60,0.453010000000063
d:\New folder\project\data\r0\t3.6\t3.6_80.cif,3.0,3.0,2.190577881243903,3.0,0,0,2,0,2,r0_t3.6_t3.6_80.cif,0,3.6,80,0.2960400000000618
d:\New folder\project\data\r0\t4.8\t4.8_0.cif,2.455982549505511,2.705044200201162,2.353084384507091,1.745941599855254,4,2,2,2,10,r0_t4.8_t4.8_0.cif,0,4.8,0,-0.1057899999999563
d:\New folder\project\data\r0\t4.8\t4.8_100.cif,2.2575590550853226,3.031354106607035,2.5745208488456433,2.2640007170683782,4,2,4,2,12,r0_t4.8_t4.8_100.cif,0,4.8,100,-0.1297200000000202
d:\New folder\project\data\r0\t4.8\t4.8_120.cif,2.191910179414429,2.9847423961775483,2.606090311622788,2.3187430624361287,2,2,4,2,10,r0_t4.8_t4.8_120.cif,0,4.8,120,-0.0025399999999535
d:\New folder\project\data\r0\t4.8\t4.8_140.cif,2.2437416719527254,3.0336054972052366,2.737810707313126,2.565923528289347,2,2,2,2,8,r0_t4.8_t4.8_140.cif,0,4.8,140,0.2554800000000341
d:\New folder\project\data\r0\t4.8\t4.8_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t4.8_t4.8_160.cif,0,4.8,160,0.5471900000000005
d:\New folder\project\data\r0\t4.8\t4.8_180.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t4.8_t4.8_180.cif,0,4.8,180,0.4673000000000229
d:\New folder\project\data\r0\t4.8\t4.8_20.cif,2.4149196388190948,3.0,3.0,3.0,2,0,0,0,2,r0_t4.8_t4.8_20.cif,0,4.8,20,0.5427300000000059
d:\New folder\project\data\r0\t4.8\t4.8_200.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t4.8_t4.8_200.cif,0,4.8,200,0.3720500000000584
d:\New folder\project\data\r0\t4.8\t4.8_220.cif,2.2979932596585964,3.0,2.649741558994643,2.228529051614526,2,0,3,2,7,r0_t4.8_t4.8_220.cif,0,4.8,220,0.0121800000000575
d:\New folder\project\data\r0\t4.8\t4.8_240.cif,2.3101038641720906,3.0,3.0,2.5661643871921624,2,0,0,2,4,r0_t4.8_t4.8_240.cif,0,4.8,240,0.075390000000084
d:\New folder\project\data\r0\t4.8\t4.8_260.cif,3.0,3.0,3.0,2.4039889895001734,0,0,0,2,2,r0_t4.8_t4.8_260.cif,0,4.8,260,0.128370000000018
d:\New folder\project\data\r0\t4.8\t4.8_280.cif,3.0,3.0,3.0,2.3117728157202997,0,0,0,2,2,r0_t4.8_t4.8_280.cif,0,4.8,280,0.184439999999995
d:\New folder\project\data\r0\t4.8\t4.8_300.cif,2.4918357815176355,3.0,2.755575193276201,2.4716538916264263,1,0,1,2,4,r0_t4.8_t4.8_300.cif,0,4.8,300,0.2161700000000337
d:\New folder\project\data\r0\t4.8\t4.8_320.cif,2.1801888891901826,2.764124323595407,2.5282941281346387,1.7984585821380679,2,2,2,2,8,r0_t4.8_t4.8_320.cif,0,4.8,320,-0.0777699999999868
d:\New folder\project\data\r0\t4.8\t4.8_340.cif,2.3502807098098777,2.711082168552756,2.4770768602653064,1.821075589610028,4,2,2,2,10,r0_t4.8_t4.8_340.cif,0,4.8,340,0.1017699999999877
d:\New folder\project\data\r0\t4.8\t4.8_40.cif,1.9838160301323544,3.0,3.0,3.0,2,0,0,0,2,r0_t4.8_t4.8_40.cif,0,4.8,40,0.6228600000000597
d:\New folder\project\data\r0\t4.8\t4.8_60.cif,3.0,3.0,2.3203573537897286,3.0,0,0,2,0,2,r0_t4.8_t4.8_60.cif,0,4.8,60,0.2799600000000737
d:\New folder\project\data\r0\t4.8\t4.8_80.cif,3.0,3.0,2.2853054447332144,3.0,0,0,2,0,2,r0_t4.8_t4.8_80.cif,0,4.8,80,0.1495600000000649
d:\New folder\project\data\r0\t6.0\t6.0_0.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t6.0_t6.0_0.cif,0,6.0,0,0.5903299999999945
d:\New folder\project\data\r0\t6.0\t6.0_100.cif,2.2900007678281136,3.0139632441319906,2.6177822196056084,2.2316032557035235,6,2,4,2,14,r0_t6.0_t6.0_100.cif,0,6.0,100,-0.1408799999999246
d:\New folder\project\data\r0\t6.0\t6.0_120.cif,2.3027881785315376,2.9448236400783845,2.42321791470468,2.252717245822965,4,2,2,2,10,r0_t6.0_t6.0_120.cif,0,6.0,120,0.0671200000000453
d:\New folder\project\data\r0\t6.0\t6.0_140.cif,2.4410692640580596,2.693581030310173,3.0,1.7247142490440122,4,2,0,2,8,r0_t6.0_t6.0_140.cif,0,6.0,140,0.0046800000000075
d:\New folder\project\data\r0\t6.0\t6.0_160.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t6.0_t6.0_160.cif,0,6.0,160,0.4334400000000187
d:\New folder\project\data\r0\t6.0\t6.0_180.cif,3.0,3.0,3.0,2.679041631624526,0,0,0,2,2,r0_t6.0_t6.0_180.cif,0,6.0,180,0.4680299999999988
d:\New folder\project\data\r0\t6.0\t6.0_20.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t6.0_t6.0_20.cif,0,6.0,20,0.5320000000000391
d:\New folder\project\data\r0\t6.0\t6.0_200.cif,3.0,3.0,3.0,2.4770299984278594,0,0,0,2,2,r0_t6.0_t6.0_200.cif,0,6.0,200,0.3893699999999853
d:\New folder\project\data\r0\t6.0\t6.0_220.cif,3.0,3.0,3.0,2.7501250531727752,0,0,0,4,4,r0_t6.0_t6.0_220.cif,0,6.0,220,0.2120100000000775
d:\New folder\project\data\r0\t6.0\t6.0_240.cif,2.469155207321423,3.0,3.0,2.6647814672782704,2,0,0,4,6,r0_t6.0_t6.0_240.cif,0,6.0,240,0.1360000000000809
d:\New folder\project\data\r0\t6.0\t6.0_260.cif,2.4207063957357042,3.0,3.0,2.5629533604281924,2,0,0,4,6,r0_t6.0_t6.0_260.cif,0,6.0,260,0.1940100000000484
d:\New folder\project\data\r0\t6.0\t6.0_280.cif,2.2821635850841746,3.0,2.7346787124561547,2.318118282441761,2,0,2,2,6,r0_t6.0_t6.0_280.cif,0,6.0,280,0.2060400000000299
d:\New folder\project\data\r0\t6.0\t6.0_300.cif,2.4318596546754483,3.0,2.699496382711213,2.4906886588860373,4,0,4,2,10,r0_t6.0_t6.0_300.cif,0,6.0,300,0.2261200000000371
d:\New folder\project\data\r0\t6.0\t6.0_320.cif,2.1633044395208265,3.0,2.551228166654801,2.6430136093512546,2,0,2,2,6,r0_t6.0_t6.0_320.cif,0,6.0,320,0.3256600000000844
d:\New folder\project\data\r0\t6.0\t6.0_340.cif,2.420718858996689,3.1396447625755877,2.7960582590747913,3.0,2,2,2,0,6,r0_t6.0_t6.0_340.cif,0,6.0,340,0.5962000000000671
d:\New folder\project\data\r0\t6.0\t6.0_40.cif,2.490846730020899,3.0,3.0,3.0,2,0,0,0,2,r0_t6.0_t6.0_40.cif,0,6.0,40,0.5752499999999827
d:\New folder\project\data\r0\t6.0\t6.0_60.cif,2.364253571396735,3.0,3.0,3.0,2,0,0,0,2,r0_t6.0_t6.0_60.cif,0,6.0,60,0.477290000000039
d:\New folder\project\data\r0\t6.0\t6.0_80.cif,2.370234811478413,3.0,2.568628719673049,2.7657110612609106,4,0,2,2,8,r0_t6.0_t6.0_80.cif,0,6.0,80,0.0229000000000496
d:\New folder\project\data\r0\t7.2\t7.2_0.cif,3.0,3.0,2.3688100460584085,2.4940635372879374,0,0,2,2,4,r0_t7.2_t7.2_0.cif,0,7.2,0,0.2915500000000293
d:\New folder\project\data\r0\t7.2\t7.2_100.cif,2.2707542839042474,3.0043495160048037,2.6000954436100696,2.2042343766761645,6,2,3,2,13,r0_t7.2_t7.2_100.cif,0,7.2,100,-0.0314700000000129
d:\New folder\project\data\r0\t7.2\t7.2_120.cif,2.3121743065050016,3.0,2.4189752563288076,2.5201375839570117,2,0,2,2,6,r0_t7.2_t7.2_120.cif,0,7.2,120,0.2547400000000834
d:\New folder\project\data\r0\t7.2\t7.2_140.cif,3.0,3.0,2.504580554018078,2.782481282176451,0,0,2,2,4,r0_t7.2_t7.2_140.cif,0,7.2,140,0.3354500000000371
d:\New folder\project\data\r0\t7.2\t7.2_160.cif,2.499076378270899,3.0,3.0,2.5538634331915695,1,0,0,2,3,r0_t7.2_t7.2_160.cif,0,7.2,160,0.4030099999999947
d:\New folder\project\data\r0\t7.2\t7.2_180.cif,3.0,3.0,3.0,2.7740269245029125,0,0,0,2,2,r0_t7.2_t7.2_180.cif,0,7.2,180,0.5383600000000115
d:\New folder\project\data\r0\t7.2\t7.2_20.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t7.2_t7.2_20.cif,0,7.2,20,0.4901300000000219
d:\New folder\project\data\r0\t7.2\t7.2_200.cif,3.0,3.0,3.0,2.384927431241354,0,0,0,2,2,r0_t7.2_t7.2_200.cif,0,7.2,200,0.4700900000000274
d:\New folder\project\data\r0\t7.2\t7.2_220.cif,2.4433868355754673,3.0,3.0,2.4822630682235323,2,0,0,2,4,r0_t7.2_t7.2_220.cif,0,7.2,220,0.3939900000000307
d:\New folder\project\data\r0\t7.2\t7.2_240.cif,2.36382862590328,3.0,3.0,2.367904218204249,2,0,0,2,4,r0_t7.2_t7.2_240.cif,0,7.2,240,0.3562800000000834
d:\New folder\project\data\r0\t7.2\t7.2_260.cif,2.1269765259795417,3.0,3.0,2.440439275281043,2,0,0,2,4,r0_t7.2_t7.2_260.cif,0,7.2,260,0.3845000000000027
d:\New folder\project\data\r0\t7.2\t7.2_280.cif,1.8637883050435593,3.0,3.0,3.0,2,0,0,0,2,r0_t7.2_t7.2_280.cif,0,7.2,280,0.3504199999999855
d:\New folder\project\data\r0\t7.2\t7.2_300.cif,2.0633548951044607,3.0,2.452003035408113,2.7831521976007987,2,0,2,2,6,r0_t7.2_t7.2_300.cif,0,7.2,300,0.3406800000000203
d:\New folder\project\data\r0\t7.2\t7.2_320.cif,3.0,3.0,2.3713038342989052,3.0,0,0,2,0,2,r0_t7.2_t7.2_320.cif,0,7.2,320,0.4653000000000702
d:\New folder\project\data\r0\t7.2\t7.2_340.cif,3.0,3.0,2.4513118818937563,3.0,0,0,2,0,2,r0_t7.2_t7.2_340.cif,0,7.2,340,0.5447300000000723
d:\New folder\project\data\r0\t7.2\t7.2_40.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t7.2_t7.2_40.cif,0,7.2,40,0.5527799999999843
d:\New folder\project\data\r0\t7.2\t7.2_60.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t7.2_t7.2_60.cif,0,7.2,60,0.5235600000000886
d:\New folder\project\data\r0\t7.2\t7.2_80.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,r0_t7.2_t7.2_80.cif,0,7.2,80,0.373260000000073
d:\New folder\project\data\r0\t8.4\t8.4_0.cif,3.0,3.0,2.573797865521525,2.4156681223309917,0,0,2,2,4,r0_t8.4_t8.4_0.cif,0,8.4,0,0.175830000000019
d:\New folder\project\data\r0\t8.4\t8.4_100.cif,2.266101859856033,3.0,3.0,2.5944508194040155,2,0,0,2,4,r0_t8.4_t8.4_100.cif,0,8.4,100,0.335140000000024
d:\New folder\project\data\r0\t8.4\t8.4_120.cif,2.243879511768303,3.0,3.0,2.5983092722246868,4,0,0,2,6,r0_t8.4_t8.4_120.cif,0,8.4,120,0.3722900000000209
d:\New folder\project\data\r0\t8.4\t8.4_140.cif,2.2861964048154695,3.0,2.6195207592049927,2.7537429177930646,4,0,2,2,8,r0_t8.4_t8.4_140.cif,0,8.4,140,0.4184300000000576
d:\New folder\project\data\r0\t8.4\t8.4_160.cif,2.340266376571595,3.0,3.0,2.6366288612644184,2,0,0,2,4,r0_t8.4_t8.4_160.cif,0,8.4,160,0.4743600000000469
d:\New folder\project\data\r0\t8.4\t8.4_180.cif,2.411126320212247,3.0,3.0,3.0,2,0,0,0,2,r0_t8.4_t8.4_180.cif,0,8.4,180,0.5873599999999897
d:\New folder\project\data\r0\t8.4\t8.4_20.cif,3.0,3.0,3.0,2.635189072062222,0,0,0,2,2,r0_t8.4_t8.4_20.cif,0,8.4,20,0.3552200000000312
d:\New folder\project\data\r0\t8.4\t8.4_200.cif,2.3140284878182,3.0,3.0,2.712285796725811,2,0,0,2,4,r0_t8.4_t8.4_200.cif,0,8.4,200,0.6583000000000538
d:\New folder\project\data\r0\t8.4\t8.4_220.cif,3.0,3.0,3.0,2.8012985117904794,0,0,0,2,2,r0_t8.4_t8.4_220.cif,0,8.4,220,0.6243500000000495
d:\New folder\project\data\r0\t8.4\t8.4_240.cif,2.4222814361599907,3.0,3.0,2.4084615142915515,2,0,0,2,4,r0_t8.4_t8.4_240.cif,0,8.4,240,0.4944700000000921
d:\New folder\project\data\r0\t8.4\t8.4_260.cif,2.122757306969251,3.0,3.0,2.609227697341944,4,0,0,2,6,r0_t8.4_t8.4_260.cif,0,8.4,260,0.4966500000000451
d:\New folder\project\data\r0\t8.4\t8.4_280.cif,2.0107695840046653,3.0,3.0,3.0,2,0,0,0,2,r0_t8.4_t8.4_280.cif,0,8.4,280,0.3855600000000549
d:\New folder\project\data\r0\t8.4\t8.4_300.cif,2.3767401166472637,3.0,2.6323111344810357,2.772011511186681,4,0,2,2,8,r0_t8.4_t8.4_300.cif,0,8.4,300,0.3288000000000011
d:\New folder\project\data\r0\t8.4\t8.4_320.cif,2.426028515898677,3.0,2.5070148643629073,3.0,2,0,2,0,4,r0_t8.4_t8.4_320.cif,0,8.4,320,0.3212500000000773
d:\New folder\project\data\r0\t8.4\t8.4_340.cif,3.0,3.0,2.3065420072647442,2.399646733101596,0,0,2,2,4,r0_t8.4_t8.4_340.cif,0,8.4,340,0.2161800000000084
d:\New folder\project\data\r0\t8.4\t8.4_40.cif,3.0,3.0,3.0,2.5246533718514934,0,0,0,2,2,r0_t8.4_t8.4_40.cif,0,8.4,40,0.4523100000000113
