Relative_Path,Axis,COM_Before_X,COM_Before_Y,COM_Before_Z,Shift_X,Shift_Y,Shift_Z,COM_After_X,COM_After_Y,COM_After_Z
r0\t2.4\t2.4_160.cif,1,9.231505141538275,4.958788890052876,9.015387171274813,0.0,-4.958788890052876,0.0,9.662737719884614,8.651286852282736,9.015387171274813
r0\t2.4\t2.4_20.cif,1,9.265905346261466,4.823023089328872,9.40755491512338,0.0,-4.823023089328872,0.0,9.664867666962621,10.053402272208597,9.40755491512338
r0\t2.4\t2.4_200.cif,1,9.381123283793087,4.925913116190196,9.445928860103779,0.0,-4.925913116190196,0.0,9.743945896318401,10.1915553664885,9.445928860103779
r0\t2.4\t2.4_240.cif,1,9.197250390771696,5.024538758006907,9.134091963430139,0.0,-5.024538758006907,0.0,9.733259560916892,9.965196688149938,9.134091963430139
r0\t2.4\t2.4_220.cif,1,10.040695693787816,5.511291236926003,8.539947390947992,0.0,-5.511291236926003,0.0,10.31289373161846,12.210155105370307,8.539947390947992
r0\t2.4\t2.4_320.cif,1,9.479751098878959,5.285611088214561,8.486101169526021,0.0,-5.285611088214561,0.0,9.84882913884823,10.77772353551119,8.486101169526021
r0\t2.4\t2.4_280.cif,1,9.551452800199225,5.432452547859352,8.306928350284343,0.0,-5.432452547859352,0.0,9.876999053639578,10.491642107087477,8.306928350284343
r0\t2.4\t2.4_260.cif,1,9.6281126265122,5.602180849484555,8.190165391700459,0.0,-5.602180849484555,0.0,10.05238725314209,11.14162328560779,8.190165391700459
r0\t2.4\t2.4_300.cif,1,9.385865951351775,5.156251629493499,8.449925315790628,0.0,-5.156251629493499,0.0,9.696034162950806,9.120900631675916,8.449925315790628
r0\t2.4\t2.4_340.cif,1,9.136688453121003,5.027386769228693,8.87520559189657,0.0,-5.027386769228693,0.0,9.358058894624959,10.451202535348065,8.87520559189657
r0\t2.4\t2.4_60.cif,1,9.308198714988125,4.4826115361995935,9.148216157333563,0.0,-4.4826115361995935,0.0,9.552495610487778,7.438693360342292,9.148216157333563
r0\t2.4\t2.4_40.cif,1,9.364667964196286,4.5334564266469775,9.53507566783379,0.0,-4.5334564266469775,0.0,9.671869328126034,7.8137017569770295,9.53507566783379
r0\t2.4\t2.4_80.cif,1,9.626338091141186,4.5056408701161885,9.014716522503734,0.0,-4.5056408701161885,0.0,9.89268414508285,7.535500986195635,9.014716522503734
r0\t3.6\t3.6_100.cif,1,10.188350132820263,5.01315161878299,8.158199226744642,0.0,-5.01315161878299,0.0,10.496893076427753,9.011418471893384,8.158199226744642
r0\t3.6\t3.6_120.cif,1,9.188753986120838,5.02527094040652,8.402900531292719,0.0,-5.02527094040652,0.0,9.246875994109692,9.333244396313516,8.402900531292719
r0\t3.6\t3.6_0.cif,1,9.487201513025918,4.943928286445045,8.970897762865906,0.0,-4.943928286445045,0.0,9.745254443139789,9.82618090393042,8.970897762865906
r0\t3.6\t3.6_140.cif,1,8.906673105637504,5.1802426187480375,8.54333064700763,0.0,-5.1802426187480375,0.0,9.20259555047537,10.191993698044676,8.54333064700763
r0\t3.6\t3.6_160.cif,1,8.846855949616483,4.877105148277212,9.059427952998874,0.0,-4.877105148277212,0.0,8.974884134222286,8.610256776112946,9.059427952998874
r0\t3.6\t3.6_200.cif,1,8.974630090565105,5.268339929485271,9.192573626398119,0.0,-5.268339929485271,0.0,9.458924475887686,12.726692200911774,9.192573626398119
r0\t3.6\t3.6_220.cif,1,9.277605183187394,5.555360846917813,8.543130410077767,0.0,-5.555360846917813,0.0,9.50680964488764,12.222150889057822,8.543130410077767
r0\t3.6\t3.6_180.cif,1,8.98098345748734,4.840586006708782,9.399505852849375,0.0,-4.840586006708782,0.0,9.22733157859116,9.348978118152267,9.399505852849375
r0\t3.6\t3.6_20.cif,1,9.127910532671576,4.79575068943749,9.355541321296014,0.0,-4.79575068943749,0.0,9.45233673344211,9.29709967629277,9.355541321296014
r0\t3.6\t3.6_260.cif,1,9.163531290685642,5.531287985543222,8.250021217574675,0.0,-5.531287985543222,0.0,9.771813562455566,11.099822821131648,8.250021217574675
r0\t3.6\t3.6_240.cif,1,9.291072625662727,5.490760644114868,8.406104911542641,0.0,-5.490760644114868,0.0,9.798210455249574,11.266488105140418,8.406104911542641
r0\t3.6\t3.6_320.cif,1,9.630494198238914,5.190322997543258,8.458008120046198,0.0,-5.190322997543258,0.0,9.991080193720682,9.935154006928505,8.458008120046198
r0\t3.6\t3.6_340.cif,1,9.66830136421713,5.25148918389974,8.642291031905883,0.0,-5.25148918389974,0.0,10.058613839223066,10.987407316214508,8.642291031905883
r0\t3.6\t3.6_300.cif,1,9.747443984184567,5.631575003079416,8.157186590371916,0.0,-5.631575003079416,0.0,10.246816174626392,11.015796859189377,8.157186590371916
r0\t3.6\t3.6_280.cif,1,9.54431068540548,5.476354783002658,8.276156574035712,0.0,-5.476354783002658,0.0,10.104673278405311,10.529790964284915,8.276156574035712
r0\t3.6\t3.6_60.cif,1,9.242000470208712,4.447497051070123,8.999086786607819,0.0,-4.447497051070123,0.0,9.278401668125083,6.801504687900755,8.999086786607819
r0\t4.8\t4.8_0.cif,1,10.054309949663496,5.318966814153588,8.575438002061452,0.0,-5.318966814153588,0.0,10.274147886801998,11.798802154948488,8.575438002061452
r0\t3.6\t3.6_80.cif,1,9.858471620629953,4.636391429956142,8.558494485965173,0.0,-4.636391429956142,0.0,10.038273066660128,7.3514049904155865,8.558494485965173
r0\t3.6\t3.6_40.cif,1,9.140003467626045,4.573417962221593,9.584105812149163,0.0,-4.573417962221593,0.0,9.488009311722559,8.632327810768107,9.584105812149163
r0\t4.8\t4.8_100.cif,1,9.920287578644439,5.279343782211445,8.032837431828023,0.0,-5.279343782211445,0.0,10.439052854037058,10.491055623112361,8.032837431828023
r0\t4.8\t4.8_120.cif,1,9.942870368837562,5.462530729712318,8.112073803544451,0.0,-5.462530729712318,0.0,10.281038640970541,11.339956103683628,8.112073803544451
r0\t4.8\t4.8_140.cif,1,9.84803639360132,5.278983268531591,8.445462071511805,0.0,-5.278983268531591,0.0,10.164406695031268,10.209300136054487,8.445462071511805
